Accession_STEPdb_2.0,Protein_ID_STEPdb_2.0,1ary_Gene_Name,STEPdb_Universal_Name,Uniprot_Protein_Name,STEPdb_Sub-cellular_Location_Full Name,STEPdb_Sub-cellular_Location_Letter Code,sub-cellular_topology_group,SRP_interactome_Schibich2016,TF_interactome_Oh2011,SecA_interactome_Huber2016,DnaK_client_Calloni2012,DnaK_client_Arifuzzaman2016,DnaK_client_Niwa2009,TF_client_Martinez2009,TF_client_Butland2005,TF_client_Arifuzzaman2006,TF_client_Niwa2009,GroEL_client_Kerner2005,GroEL_client_Arifuzzaman2006,GroEL_client_Chapman2006,GroEL_client_Niwa2009,SecB_client_Stepdb1.0,SecB_client_additional_data
P0ABC9,BETT_ECOLI,betT,"integral IM protein (SEC in IM), High-affinity choline transport protein BetT",High-affinity choline transport protein,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P0ABD1,YEAV_ECOLI,yeaV,"integral IM protein (SEC in IM), transporter YeaV",Uncharacterized transporter YeaV,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P0ABD3,BFR_ECOLI,bfr,"cytoplasmic protein, Bacterioferritin Bfr",Bacterioferritin (BFR) (EC 1.16.3.1) (Cytochrome b-1) (Cytochrome b-557),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0ABD5,ACCA_ECOLI,accA,"cytoplasmic peripheral IM protein, Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha AccA",Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,NO,,,YES,,,,,,,YES,YES,,,,
P0ABD8,BCCP_ECOLI,accB,"cytoplasmic protein, Biotin carboxyl carrier of acetyl-CoA carboxylase AccB",Biotin carboxyl carrier protein of acetyl-CoA carboxylase (BCCP),Cytoplasmic,A,Cytoplasmic,NO,,,YES,YES,,,,,,,,,,,
P0ABE2,BOLA_ECOLI,bolA,"nucleoid protein, DNA-binding transcriptional regulator BolA",DNA-binding transcriptional regulator BolA,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,YES,,,,,,,,,,,,
P0ABE5,C561_ECOLI,cybB,"integral IM protein (SEC-YidC in IM), Cytochrome b561 CybB",Cytochrome b561 (Cytochrome b-561),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P0ABE9,CYNT_ECOLI,cynT,"cytoplasmic protein, Carbonic anhydrase 1 CynT",Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase 1),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0ABF1,PCNB_ECOLI,pcnB,"cytoplasmic peripheral IM protein, PcnB",Poly(A) polymerase I (PAP I) (EC 2.7.7.19) (Plasmid copy number protein),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,YES,,YES,,,,,,,YES,YES,YES,,,,
P0ABF4,EUTM_ECOLI,eutM,"cytoplasmic protein, Ethanolamine utilization EutM",Ethanolamine utilization protein EutM,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0ABF6,CDD_ECOLI,cdd,"cytoplasmic protein, Cytidine deaminase Cdd",Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase) (CDA),Cytoplasmic,A,Cytoplasmic,,,,YES,,,,,,,,,,,,
P0ABF8,PGSA_ECOLI,pgsA,"integral IM protein (SEC in IM), CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase PgsA",CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase) (PGP synthase),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P0ABG1,CDSA_ECOLI,cdsA,"integral IM protein (SEC in IM), Phosphatidate cytidylyltransferase CdsA",Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-DAG synthase) (CDP-DG synthase) (CDP-diacylglycerol synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CTP:phosphatidate cytidylyltransferase),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P0ABG4,FTSW_ECOLI,ftsW,"integral IM protein (SEC in IM), Probable PG glycosyltransferase FtsW ",Probable peptidoglycan glycosyltransferase FtsW (PGT) (EC 2.4.1.129) (Cell division protein FtsW) (Cell wall polymerase) (Lipid II flippase FtsW) (Peptidoglycan polymerase) (PG polymerase),Integral Inner Membrane ,B,Integral Inner Membrane,YES,YES,YES,,,,,,,,,,,,,
P0ABG7,RODA_ECOLI,mrdB,"integral IM protein (SEC in IM), PG glycosyltransferase MrdB ",Peptidoglycan glycosyltransferase MrdB (PGT) (EC 2.4.1.129) (Cell elongation protein RodA) (Cell wall polymerase) (Peptidoglycan polymerase) (PG polymerase) (Rod shape-determining protein),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P0ABH0,FTSA_ECOLI,ftsA,"cytoplasmic peripheral IM protein, Cell division FtsA",Cell division protein FtsA,"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,,,,,
P0ABH4,MRED_ECOLI,mreD,"integral IM protein (SEC in IM), Rod shape-determining MreD ",Rod shape-determining protein MreD,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P0ABH7,CISY_ECOLI,gltA,"cytoplasmic peripheral IM protein, Citrate synthase GltA",Citrate synthase (EC 2.3.3.16),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,NO,,,,,YES,,,,,YES,YES,,YES,,
P0ABH9,CLPA_ECOLI,clpA,"cytoplasmic protein, ATP-dependent Clp protease ATP-binding subunit ClpA",ATP-dependent Clp protease ATP-binding subunit ClpA,Cytoplasmic,A,Cytoplasmic,,YES,,YES,,,,,,,,,,,,
P0ABI4,CORA_ECOLI,corA,"integral IM protein (SEC-YidC in IM), Magnesium transport CorA ",Magnesium transport protein CorA,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P0ABI8,CYOB_ECOLI,cyoB,"integral IM protein (SEC-YidC in IM), Cytochrome bo(3) ubiquinol oxidase subunit 1 CyoB",Cytochrome bo(3) ubiquinol oxidase subunit 1 (EC 1.10.3.10) (Cytochrome b562-o complex subunit I) (Cytochrome o ubiquinol oxidase subunit 1) (Cytochrome o subunit 1) (Oxidase bo(3) subunit 1) (Ubiquinol oxidase chain A) (Ubiquinol oxidase polypeptide I) (Ubiquinol oxidase subunit 1),Integral Inner Membrane ,B,Integral Inner Membrane,YES,YES,,,,,,,,,,,,,,
P0ABJ1,CYOA_ECOLI,cyoA,"integral IM protein (SEC in IM), Cytochrome bo(3) ubiquinol oxidase subunit 2 CyoA",Cytochrome bo(3) ubiquinol oxidase subunit 2 (Cytochrome b562-o complex subunit II) (Cytochrome o ubiquinol oxidase subunit 2) (Cytochrome o subunit 2) (Oxidase bo(3) subunit 2) (Ubiquinol oxidase chain B) (Ubiquinol oxidase polypeptide II) (Ubiquinol oxidase subunit 2),"Integral Inner Membrane, Inner Membrane Lipoprotein",B,Integral Inner Membrane,YES,,,YES,YES,,,,,,,YES,,,,
P0ABJ3,CYOC_ECOLI,cyoC,"integral IM protein (SEC in IM), Cytochrome bo(3) ubiquinol oxidase subunit 3 CyoC",Cytochrome bo(3) ubiquinol oxidase subunit 3 (Cytochrome o ubiquinol oxidase subunit 3) (Cytochrome o subunit 3) (Oxidase bo(3) subunit 3) (Ubiquinol oxidase chain C) (Ubiquinol oxidase polypeptide III) (Ubiquinol oxidase subunit 3),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P0ABJ6,CYOD_ECOLI,cyoD,"integral IM protein (SEC in IM), Cytochrome bo(3) ubiquinol oxidase subunit 4 CyoD",Cytochrome bo(3) ubiquinol oxidase subunit 4 (Cytochrome o ubiquinol oxidase subunit 4) (Cytochrome o subunit 4) (Oxidase bo(3) subunit 4) (Ubiquinol oxidase chain D) (Ubiquinol oxidase polypeptide IV) (Ubiquinol oxidase subunit 4),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P0ABJ9,CYDA_ECOLI,cydA,"integral IM protein (SEC in IM), Cytochrome bd-I ubiquinol oxidase subunit 1 CydA",Cytochrome bd-I ubiquinol oxidase subunit 1 (EC 1.10.3.14) (Cytochrome bd-I oxidase subunit I) (Cytochrome d ubiquinol oxidase subunit I),Integral Inner Membrane ,B,Integral Inner Membrane,YES,YES,,,,,,,,,,,,,,
P0ABK2,CYDB_ECOLI,cydB,"integral IM protein (SEC in IM), Cytochrome bd-I ubiquinol oxidase subunit 2 CydB",Cytochrome bd-I ubiquinol oxidase subunit 2 (EC 1.10.3.14) (Cytochrome bd-I oxidase subunit II) (Cytochrome d ubiquinol oxidase subunit II),Integral Inner Membrane ,B,Integral Inner Membrane,YES,YES,,YES,,,,,,,,,,,,
P0ABK5,CYSK_ECOLI,cysK,"cytoplasmic peripheral IM protein, Cysteine synthase A CysK",Cysteine synthase A (CSase A) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase A) (OAS-TL A) (O-acetylserine sulfhydrylase A) (S-carboxymethylcysteine synthase) (EC 4.5.1.5) (Sulfate starvation-induced protein 5) (SSI5),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,,YES,,,,,,,,,,,,
P0ABK7,CSGB_ECOLI,csgB,"Curli related extra-cellular peripheral OM protein (SEC through IM), secreted over OM by curli), Minor curlin subunit CsgB",Minor curlin subunit,Peripheral outer membrane protein facing the extra-cellular space,F4,Secreted,,,,,,,,,,,,,,,,
P0ABK9,NRFA_ECOLI,nrfA,"periplasmic protein (SEC through IM), Cytochrome c-552 NrfA",Cytochrome c-552 (EC 1.7.2.2) (Ammonia-forming cytochrome c nitrite reductase) (Cytochrome c nitrite reductase),Periplasmic,G,Secreted,,,YES,,,,,,,,,,,,,
P0ABL1,NRFB_ECOLI,nrfB,"periplasmic protein (SEC through IM), Cytochrome c-type NrfB",Cytochrome c-type protein NrfB,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P0ABL3,NAPB_ECOLI,napB,"periplasmic protein (SEC through IM), nitrate reductase, electron transfer subunit NapB","Periplasmic nitrate reductase, electron transfer subunit (Diheme cytochrome c NapB)",Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P0ABL5,NAPC_ECOLI,napC,"integral IM protein (SEC in IM), Cytochrome c-type NapC",Cytochrome c-type protein NapC,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P0ABL8,CCMB_ECOLI,ccmB,"integral IM protein (SEC-YidC in IM), Heme exporter B CcmB",Heme exporter protein B (Cytochrome c-type biogenesis protein CcmB),Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P0ABM1,CCMC_ECOLI,ccmC,"integral IM protein (SEC-YidC in IM), Heme exporter C CcmC",Heme exporter protein C (Cytochrome c-type biogenesis protein CcmC),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P0ABM5,CCMD_ECOLI,ccmD,"integral IM protein (SEC in IM), Heme exporter D CcmD",Heme exporter protein D (Cytochrome c-type biogenesis protein CcmD),Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P0ABM9,CCMH_ECOLI,ccmH,"integral IM protein (SEC in IM), Cytochrome c-type biogenesis CcmH",Cytochrome c-type biogenesis protein CcmH,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P0ABN1,KDGL_ECOLI,dgkA,"integral IM protein (SEC in IM), Diacylglycerol kinase DgkA",Diacylglycerol kinase (DAGK) (EC 2.7.1.107) (Diglyceride kinase) (DGK),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P0ABN5,DCUA_ECOLI,dcuA,"integral IM protein (SEC in IM), Anaerobic C4-dicarboxylate transporter DcuA",Anaerobic C4-dicarboxylate transporter DcuA,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P0ABN9,DCUB_ECOLI,dcuB,"integral IM protein (SEC in IM), Anaerobic C4-dicarboxylate transporter DcuB",Anaerobic C4-dicarboxylate transporter DcuB,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P0ABP3,DCUC_ECOLI,dcuC,"integral IM protein (SEC in IM), Anaerobic C4-dicarboxylate transporter DcuC",Anaerobic C4-dicarboxylate transporter DcuC,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P0ABP6,DEDA_ECOLI,dedA,"integral IM protein (SEC-YidC in IM) of DedA family, DedA",Protein DedA (Protein DSG-1),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P0ABP8,DEOD_ECOLI,deoD,"cytoplasmic peripheral IM protein, Purine nucleoside phosphorylase DeoD-type DeoD",Purine nucleoside phosphorylase DeoD-type (PNP) (EC 2.4.2.1) (Inosine phosphorylase),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,NO,YES,,YES,,,,,,,YES,,,,,
P0ABQ0,COABC_ECOLI,coaBC,"cytoplasmic protein, Coenzyme A biosynthesis bifunctional CoaB",Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) [Includes: Phosphopantothenoylcysteine decarboxylase (PPCDC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (PPC synthetase) (PPCS) (Phosphopantothenoylcysteine synthase)],Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0ABQ2,GARR_ECOLI,garR,"cytoplasmic protein, 2-hydroxy-3-oxopropionate reductase GarR",2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60) (Tartronate semialdehyde reductase) (TSAR),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0ABQ4,DYR_ECOLI,folA,"cytoplasmic protein, Dihydrofolate reductase FolA",Dihydrofolate reductase (EC 1.5.1.3),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0ABR1,DINI_ECOLI,dinI,"cytoplasmic protein, DNA damage-inducible I DinI",DNA damage-inducible protein I,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0ABR5,HCAE_ECOLI,hcaE,"cytoplasmic protein, 3-phenylpropionate/cinnamic acid dioxygenase subunit alpha HcaE",3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19),Cytoplasmic,A,Cytoplasmic,,,,,,YES,,,,,,YES,,,,
P0ABR7,CNTA_ECOLI,yeaW,"cytoplasmic protein, Carnitine monooxygenase oxygenase subunit YeaW",Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit),Cytoplasmic,A,Cytoplasmic,,YES,YES,,,,,,,,,,,,,
P0ABR9,MHPB_ECOLI,mhpB,"cytoplasmic protein, 2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase MhpB","2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase (EC 1.13.11.16) (3-carboxyethylcatechol 2,3-dioxygenase)",Cytoplasmic,A,Cytoplasmic,,,YES,,,YES,,,,,,YES,,,,
P0ABS1,DKSA_ECOLI,dksA,"nucleoid protein, RNA polymerase-binding transcription factor DksA ",RNA polymerase-binding transcription factor DksA (DnaK suppressor protein),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,YES,,,,,,,,,,,,
P0ABS5,DNAG_ECOLI,dnaG,"nucleoid protein, DnaG",DNA primase (EC 2.7.7.-),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,YES,,,,,,,,,,,,
P0ABS8,HOLE_ECOLI,holE,"nucleoid protein, DNA polymerase III subunit theta HolE",DNA polymerase III subunit theta (EC 2.7.7.7),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,YES,YES,,,,,,,,,,,
P0ABT2,DPS_ECOLI,dps,"cytoplasmic nucleoid peripheral IM protein, DNA protection during starvation Dps",DNA protection during starvation protein (EC 1.16.-.-),"Cytoplasmic, Nucleoid, Peripheral inner membrane protein facing the cytoplasm","A,N,F1",Cytoplasmic,,,,YES,,,,,,,YES,,,,,
P0ABT5,DUSB_ECOLI,dusB,"cytoplasmic protein, tRNA-dihydrouridine synthase B DusB",tRNA-dihydrouridine synthase B (EC 1.3.1.-),Cytoplasmic,A,Cytoplasmic,,YES,,YES,,,,,,,YES,YES,,,,
P0ABT8,YIJE_ECOLI,yijE,"integral IM protein (SEC in IM), Probable cystine transporter YijE YijE",Probable cystine transporter YijE,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P0ABU0,MENB_ECOLI,menB,"cytoplasmic protein, 1,4-dihydroxy-2-naphthoyl-CoA synthase MenB","1,4-dihydroxy-2-naphthoyl-CoA synthase (DHNA-CoA synthase) (EC 4.1.3.36)",Cytoplasmic,A,Cytoplasmic,NO,YES,,,,,,,,,,,,,,
P0ABU2,YCHF_ECOLI,ychF,"cytoplasmic protein, Ribosome-binding ATPase YchF ",Ribosome-binding ATPase YchF,Cytoplasmic,A,Cytoplasmic,,YES,,YES,,,,,,,,,,,,
P0ABU5,ELBB_ECOLI,elbB,"cytoplasmic protein, Glyoxalase ElbB",Glyoxalase ElbB (EC 4.2.1.-) (Sigma cross-reacting protein 27A) (SCRP-27A),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0ABU7,EXBB_ECOLI,exbB,"integral IM protein (SEC in IM), Biopolymer transport ExbB",Biopolymer transport protein ExbB,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P0ABU9,TOLQ_ECOLI,tolQ,"integral IM protein (SEC in IM), Tol-Pal system TolQ ",Tol-Pal system protein TolQ,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P0ABV2,EXBD_ECOLI,exbD,"integral IM protein (SEC in IM), Biopolymer transport ExbD",Biopolymer transport protein ExbD,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P0ABV6,TOLR_ECOLI,tolR,"integral IM protein (SEC in IM), Tol-Pal system TolR ",Tol-Pal system protein TolR,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P0ABW0,HCAC_ECOLI,hcaC,"cytoplasmic protein, 3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit HcaC",3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit,Cytoplasmic,A,Cytoplasmic,,,YES,,YES,,,,,,,,,,,
P0ABW3,YFAE_ECOLI,yfaE,"cytoplasmic protein, Ferredoxin-like YfaE",Uncharacterized ferredoxin-like protein YfaE,Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P0ABW5,SFMA_ECOLI,sfmA,"Fimbrial periplasmic protein (SEC through IM), SfmA",Uncharacterized fimbrial-like protein SfmA (Type-1A pilin),Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P0ABW9,FLGB_ECOLI,flgB,"Flagellar periplasmic protein (Flagellum secreted through IM), basal body rod FlgB",Flagellar basal body rod protein FlgB (Putative proximal rod protein),Periplasmic,G,Secreted,,YES,,,,,,,,,,,,,,
P0ABX2,FLGC_ECOLI,flgC,"Flagellar periplasmic protein (Flagellum secreted through IM), basal body rod FlgC",Flagellar basal-body rod protein FlgC (Putative proximal rod protein),Periplasmic,G,Secreted,,YES,,,,,,,,,,,,,,
P0ABX5,FLGG_ECOLI,flgG,"Flagellar periplasmic protein (Flagellum secreted through IM), basal body rod FlgG",Flagellar basal-body rod protein FlgG (Distal rod protein),Periplasmic,G,Secreted,,YES,,,,,,,,,,,,,,
P0ABX8,FLIL_ECOLI,fliL,"integral IM protein (SEC in IM), FliL",Flagellar protein FliL,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P0ABY2,FLIT_ECOLI,fliT,"cytoplasmic protein, FliT",Flagellar protein FliT,Cytoplasmic,A,Cytoplasmic,,,,,,,,,YES,,,,,,,
P0ABY4,FLAW_ECOLI,fldB,"cytoplasmic protein, Flavodoxin 2 FldB",Flavodoxin 2,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0ABY7,FLHC_ECOLI,flhC,"nucleoid protein, transcriptional regulator FlhC",Flagellar transcriptional regulator FlhC,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,YES,,,,,,,,,,,,,,
P0ABZ1,FLIG_ECOLI,fliG,"Flagellar cytoplasmic peripheral IM protein, motor switch FliG ",Flagellar motor switch protein FliG,"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,YES,,,,,,,,,,,,,
P0ABZ4,KDSC_ECOLI,kdsC,"cytoplasmic peripheral IM protein, 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC",3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC (EC 3.1.3.45) (KDO 8-P phosphatase),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,,,,,
P0ABZ6,SURA_ECOLI,surA,"periplasmic protein (SEC through IM), Chaperone SurA",Chaperone SurA (Peptidyl-prolyl cis-trans isomerase SurA) (PPIase SurA) (EC 5.2.1.8) (Rotamase SurA) (Survival protein A),Periplasmic,G,Secreted,,,,,YES,,,,,,,,,,,
P0AC00,FRLB_ECOLI,frlB,"cytoplasmic protein, Fructoselysine 6-phosphate deglycase FrlB",Fructoselysine 6-phosphate deglycase (EC 3.5.-.-),Cytoplasmic,A,Cytoplasmic,,,,,YES,,,,,,,YES,,,,
P0AC02,BAMD_ECOLI,bamD,"OM lipoprotein (SEC through IM, inserted in OM by LOL), assembly factor BamD",Outer membrane protein assembly factor BamD,Outer Membrane Lipoprotein,I,Secreted,,,,YES,,,,,,,,,,,,
P0AC05,FLIP_ECOLI,fliP,"Flagellar integral IM protein (SEC in IM), biosynthetic FliP",Flagellar biosynthetic protein FliP,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P0AC07,FLIQ_ECOLI,fliQ,"Flagellar integral IM protein (SEC in IM), biosynthetic FliQ",Flagellar biosynthetic protein FliQ,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P0AC13,DHPS_ECOLI,folP,"cytoplasmic protein, Dihydropteroate synthase FolP",Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase),Cytoplasmic,A,Cytoplasmic,,,,YES,,,,,,,,,,YES,,
P0AC16,FOLB_ECOLI,folB,"cytoplasmic protein, Dihydroneopterin aldolase FolB","Dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin 2'-epimerase) (7,8-dihydroneopterin aldolase) (7,8-dihydroneopterin epimerase) (EC 5.1.99.8) (Dihydroneopterin epimerase)",Cytoplasmic,A,Cytoplasmic,,,,YES,,,,,,,,,,,,
P0AC19,FOLX_ECOLI,folX,"cytoplasmic protein, Dihydroneopterin triphosphate 2'-epimerase FolX","Dihydroneopterin triphosphate 2'-epimerase (EC 5.1.99.-) (D-erythro-7,8-dihydroneopterin triphosphate epimerase)",Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0AC23,FOCA_ECOLI,focA,"integral IM protein (SEC in IM), Probable formate transporter 1 FocA",Probable formate transporter 1 (Formate channel 1),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P0AC26,NIRC_ECOLI,nirC,"integral IM protein (SEC in IM), Nitrite transporter NirC NirC",Nitrite transporter NirC,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P0AC28,5FCL_ECOLI,ygfA,"cytoplasmic protein, 5-formyltetrahydrofolate cyclo-ligase YgfA","5-formyltetrahydrofolate cyclo-ligase (5-FCL) (EC 6.3.3.2) (5,10-methenyltetrahydrofolate synthetase) (MTHFS)",Cytoplasmic,A,Cytoplasmic,,YES,YES,,,,,,,,,YES,,,,
P0AC30,FTSX_ECOLI,ftsX,"integral IM protein (SEC in IM), Cell division FtsX",Cell division protein FtsX,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P0AC33,FUMA_ECOLI,fumA,"cytoplasmic peripheral IM protein, Fumarate hydratase class I, aerobic FumA","Fumarate hydratase class I, aerobic (EC 4.2.1.2) (Fumarase A) (Oxaloacetate keto--enol-isomerase) (OAAKE isomerase) (Oxaloacetate tautomerase) (EC 5.3.2.2)","Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,,YES,,,,,,,,,,,,
P0AC35,TTDB_ECOLI,ttdB,"cytoplasmic protein, L(+)-tartrate dehydratase subunit beta TtdB",L(+)-tartrate dehydratase subunit beta (L-TTD beta) (EC 4.2.1.32),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,,,
P0AC38,ASPA_ECOLI,aspA,"cytoplasmic peripheral IM protein, Aspartate ammonia-lyase AspA",Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,YES,,,,,,,,
P0AC41,SDHA_ECOLI,sdhA,"cytoplasmic peripheral IM protein, Succinate dehydrogenase flavosubunit SdhA",Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,,YES,,,YES,,YES,,YES,,,YES,,
P0AC44,DHSD_ECOLI,sdhD,"integral IM protein (SEC in IM), Succinate dehydrogenase hydrophobic anchor subunit SdhD",Succinate dehydrogenase hydrophobic membrane anchor subunit,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P0AC47,FRDB_ECOLI,frdB,"cytoplasmic peripheral IM protein, Fumarate reductase iron-sulfur subunit FrdB",Fumarate reductase iron-sulfur subunit (EC 1.3.5.1),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,YES,,,,,,,,,,,,
P0AC51,ZUR_ECOLI,zur,"nucleoid protein, Zinc uptake regulation Zur",Zinc uptake regulation protein (Zinc uptake regulator),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,YES,,,,,,,,,,,,
P0AC53,G6PD_ECOLI,zwf,"cytoplasmic protein, Glucose-6-phosphate 1-dehydrogenase Zwf",Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49) [Cleaved into: Extracellular death factor (EDF)],Cytoplasmic,A,Cytoplasmic,,YES,,YES,YES,,,,,,,,,,,
P0AC55,GLNK_ECOLI,glnK,"cytoplasmic peripheral IM protein, Nitrogen regulatory P-II 2 GlnK",Nitrogen regulatory protein P-II 2,"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,YES,,,,,,,,,,,
